[23:14:00] [INFO] received Windows console close event; shutting log-core down
[23:15:15] [INFO] received Windows console close event; shutting log-core down
[23:17:09] [INFO] received Windows console close event; shutting log-core down
[23:17:46] [INFO] received Windows console close event; shutting log-core down
[23:23:51] [INFO] received Windows console close event; shutting log-core down
[21:46:39] [INFO] received Windows console close event; shutting log-core down
[22:14:47] [INFO] received Windows console close event; shutting log-core down
[22:15:58] [INFO] received Windows console close event; shutting log-core down
[22:16:32] [INFO] received Windows console close event; shutting log-core down
[22:18:03] [INFO] received Windows console close event; shutting log-core down
[22:18:39] [INFO] received Windows console close event; shutting log-core down
[20:24:03] [INFO] received Windows console close event; shutting log-core down
[20:33:21] [INFO] received Windows console close event; shutting log-core down
[20:37:50] [INFO] received Windows console close event; shutting log-core down
[20:55:59] [INFO] received Windows console close event; shutting log-core down
[21:42:57] [INFO] received Windows console close event; shutting log-core down
[21:56:28] [INFO] received Windows console close event; shutting log-core down
[22:01:23] [INFO] received Windows console close event; shutting log-core down
[22:39:22] [INFO] received Windows console close event; shutting log-core down
[22:40:06] [INFO] received Windows console close event; shutting log-core down
[22:41:40] [INFO] received Windows console close event; shutting log-core down
[22:44:14] [INFO] received Windows console close event; shutting log-core down
[22:46:49] [INFO] received Windows console close event; shutting log-core down
[22:47:38] [INFO] received Windows console close event; shutting log-core down
[22:48:41] [INFO] received Windows console close event; shutting log-core down
[22:56:07] [INFO] received Windows console close event; shutting log-core down
[08:14:10] [INFO] received Windows console close event; shutting log-core down
[08:25:13] [INFO] received Windows console close event; shutting log-core down
[08:28:20] [INFO] received Windows console close event; shutting log-core down
[22:58:55] [INFO] received Windows console close event; shutting log-core down
[23:05:34] [INFO] received Windows console close event; shutting log-core down
[15:08:29] [INFO] received Windows console close event; shutting log-core down
[15:22:36] [INFO] received Windows console close event; shutting log-core down
[15:26:19] [INFO] received Windows console close event; shutting log-core down
[15:34:10] [INFO] received Windows console close event; shutting log-core down
[19:24:01] [INFO] received Windows console close event; shutting log-core down
[19:46:03] [INFO] received Windows console close event; shutting log-core down
[19:46:42] [INFO] received Windows console close event; shutting log-core down
[19:47:01] [INFO] received Windows console close event; shutting log-core down
[19:47:04] [INFO] received Windows console close event; shutting log-core down
[19:48:51] [INFO] received Windows console close event; shutting log-core down
[19:48:55] [INFO] received Windows console close event; shutting log-core down
[19:52:51] [INFO] received Windows console close event; shutting log-core down
[19:53:10] [INFO] received Windows console close event; shutting log-core down
[19:53:17] [INFO] received Windows console close event; shutting log-core down
[20:01:01] [INFO] received Windows console close event; shutting log-core down
[20:02:50] [INFO] received Windows console close event; shutting log-core down
[20:09:13] [INFO] received Windows console close event; shutting log-core down
[20:13:40] [INFO] received Windows console close event; shutting log-core down
[22:52:21] [INFO] received Windows console close event; shutting log-core down
[22:56:06] [INFO] received Windows console close event; shutting log-core down
[22:57:06] [INFO] received Windows console close event; shutting log-core down
[22:58:13] [INFO] received Windows console close event; shutting log-core down
[23:04:06] [INFO] received Windows console close event; shutting log-core down
[12:08:49] [INFO] received Windows console close event; shutting log-core down
[12:11:52] [INFO] received Windows console close event; shutting log-core down
[12:12:07] [INFO] received Windows console close event; shutting log-core down
[12:13:23] [INFO] received Windows console close event; shutting log-core down
[12:33:25] [INFO] received Windows console close event; shutting log-core down
[12:35:14] [INFO] received Windows console close event; shutting log-core down
[12:36:56] [INFO] received Windows console close event; shutting log-core down
[12:38:28] [INFO] received Windows console close event; shutting log-core down
[12:44:50] [INFO] received Windows console close event; shutting log-core down
[12:50:04] [INFO] received Windows console close event; shutting log-core down
[12:52:28] [INFO] received Windows console close event; shutting log-core down
[17:05:12] [INFO] received Windows console close event; shutting log-core down
[17:26:00] [INFO] received Windows console close event; shutting log-core down
[17:29:28] [INFO] received Windows console close event; shutting log-core down
[17:30:18] [INFO] received Windows console close event; shutting log-core down
[17:31:29] [INFO] received Windows console close event; shutting log-core down
[17:33:21] [INFO] received Windows console close event; shutting log-core down
[17:33:57] [INFO] received Windows console close event; shutting log-core down
[17:37:59] [INFO] received Windows console close event; shutting log-core down
[17:38:51] [INFO] received Windows console close event; shutting log-core down
[13:51:28] [INFO] received Windows console close event; shutting log-core down
[13:57:46] [INFO] received Windows console close event; shutting log-core down
[14:08:17] [INFO] received Windows console close event; shutting log-core down
[14:21:36] [INFO] received Windows console close event; shutting log-core down
[14:25:51] [INFO] received Windows console close event; shutting log-core down
[10:57:58] [INFO] received Windows console close event; shutting log-core down
[22:46:12] [INFO] received Windows console close event; shutting log-core down
[18:53:45] [INFO] received Windows console close event; shutting log-core down
[18:57:42] [INFO] received Windows console close event; shutting log-core down
[19:11:11] [INFO] received Windows console close event; shutting log-core down
[13:14:29] [INFO] received Windows console close event; shutting log-core down
[13:18:49] [INFO] received Windows console close event; shutting log-core down
[16:16:54] [INFO] received Windows console close event; shutting log-core down
[16:19:15] [INFO] received Windows console close event; shutting log-core down
[16:24:11] [INFO] received Windows console close event; shutting log-core down
[17:39:19] [INFO] received Windows console close event; shutting log-core down
[10:56:05] [INFO] received Windows console close event; shutting log-core down
[11:00:09] [INFO] received Windows console close event; shutting log-core down
[11:01:31] [INFO] received Windows console close event; shutting log-core down
[11:03:10] [INFO] received Windows console close event; shutting log-core down
[11:08:25] [INFO] received Windows console close event; shutting log-core down
[11:11:53] [INFO] received Windows console close event; shutting log-core down
[11:12:31] [INFO] received Windows console close event; shutting log-core down
[11:14:27] [INFO] received Windows console close event; shutting log-core down
[11:30:52] [INFO] received Windows console close event; shutting log-core down
